Feature,Importance
Max Call Number,0.12902542798662597
Call Ratio,0.12192184510867994
Interested Call Ratio,0.12026171282046264
Interested Calls,0.11734054741043275
Not Interested Calls,0.09963133742284097
Age,0.09767728409573694
Sector_retail,0.059188868999966976
Total Calls,0.03878134480587406
Call Back Later Calls,0.03741516594891672
Sector_consultancy,0.032605189384738865
Sector_construction,0.02231462330583784
Region_scotland,0.022248142538296715
Sector_wholesale,0.014696732218206707
Region_north-west,0.013731758510242265
Sector_food,0.012904745527047805
Sector_entertainment,0.011864424671378042
Region_south-west,0.01040265368169704
Region_south-east,0.009894415456293517
Region_midlands,0.007684232508296072
Region_south,0.007155887124877022
Region_north-east,0.00586485964492676
Region_wales,0.004407662628455321
Region_northern-ireland,0.0029811382001689577
